,Date,User,Tweet
52,2023-04-09 07:32:31+00:00,PolsekMajenang6,"pada hari Minggu tanggal 9 April 2023 pukul 11.00 WIB s.d.11.30 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H dan Menjelang Idul Fitri 2023. https://t.co/R4fpUVDKVl"
53,2023-04-09 07:32:26+00:00,PolsekMajenang6,"pada hari Minggu tanggal 9 April 2023 pukul 11.00 WIB s.d.11.30 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H dan Menjelang Idul Fitri 2023. https://t.co/LCHAf2bZxN"
54,2023-04-09 07:32:22+00:00,PolsekMajenang6,"pada hari Minggu tanggal 9 April 2023 pukul 11.00 WIB s.d.11.30 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H dan Menjelang Idul Fitri 2023. https://t.co/fuo0J7sokL"
55,2023-04-09 07:32:17+00:00,PolsekMajenang6,"pada hari Minggu tanggal 9 April 2023 pukul 11.00 WIB s.d.11.30 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H dan Menjelang Idul Fitri 2023. https://t.co/k7m5KTC1xX"
56,2023-04-09 07:02:31+00:00,inilahdotcom,"Kereta api pembawa bahan bakar minyak (BBM) Pertamina dikabarkan anjlok, keluar dari jalur rel di perlintasan Stasiun Sepanjang, Sidoarjo, Jawa Timur pada Sabtu (8/4/2023) pukul 15.30 WIB.

Manager Humas KAI Daop 8 Surabaya Luqman Arif menyampaikan bahwa KA BBM dengan nomor 2636… https://t.co/mnPkbACB4h"
57,2023-04-09 06:06:34+00:00,DailyGemilang,"Tahukah anda, Pesawat Airbus pernah terbang hanya guna minyak masak je! Sekali yang tak diingini berlaku. Satu dunia terkesan dengan peningkatan harga bahan bakar petrol ... Read more https://t.co/8GGh2uloxj #gemilangdaily"
58,2023-04-09 05:40:19+00:00,SiHumasBatu,divisihumaspolri Kehabisan Bensin di Jalan Tol? Jangan Khawatir! Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu! https://t.co/qi67FkPRaT
59,2023-04-09 05:31:37+00:00,intelkampali,Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu! Eitss.. tapi tetap perhatikan ketersediaan bahan bakarmu sebelum mudik Lebaran 2023 ya. https://t.co/9hBXUIP3S5
60,2023-04-09 04:09:03+00:00,edisusa41426903,"Kehabisan Bensin di Jalan Tol?
Jangan Khawatir!

Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu. https://t.co/OKC8RdCboM"
61,2023-04-09 03:23:29+00:00,KompasKlasika,"PT Kilang Pertamina Internasional Refinery Unit VI Balongan di Kabupaten Indramayu, Jawa Barat, menjamin pasokan bahan bakar minyak saat mudik Lebaran 2023. Selain membentuk tim, Pertamina juga memastikan peralatannya. 
https://t.co/ufvGUPWcM5

#Nusantara #AdadiKompas"
